                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86058,                 1.6943,                 2.0022,                 1.1455,                0.25954,                0.37259,                0.20456,                0.14495,                0.25273,                0.34007,                0.19094,                0.13472,                 1.1918,                 2.9561,                 9.7067,                 1.4303,             0.00054498,             0.00054498,             0.00054498
                      2,                0.84748,                 1.3701,                 1.3238,                 1.0987,                0.16975,                0.44052,                 0.1686,                0.09504,                0.12035,                0.30852,                0.07797,                0.03904,                 1.4636,                 9.0119,                 13.247,                 1.9654,              0.0010898,              0.0010898,              0.0010898
                      3,                0.95805,                 1.5134,                   1.26,                 1.1674,                 0.2701,                0.51189,                0.25755,                0.16445,                0.22668,                0.40602,                0.18079,                0.09725,                 1.3424,                 10.547,                 5.3225,                 1.9153,              0.0016235,              0.0016235,              0.0016235
                      4,                0.97089,                 1.5577,                 1.2937,                 1.1708,                0.25193,                0.22818,                0.13902,                0.09387,                0.23216,                0.20689,                0.09558,                0.06493,                 1.7144,                 14.459,                  3.194,                 1.9282,              0.0016175,              0.0016175,              0.0016175
                      5,                0.88364,                 1.3307,                  1.096,                 1.1278,                0.36401,                0.42758,                0.36265,                0.25664,                0.36294,                0.42758,                0.36779,                0.21567,                 1.0946,                 2.0544,                 2.2669,                 1.4063,              0.0016175,              0.0016175,              0.0016175
                      6,                0.83099,                 1.2235,                 1.0182,                 1.0916,                0.60943,                0.55202,                0.53875,                0.39923,                0.54405,                0.56108,                0.50064,                0.34335,                0.91427,                 2.1138,                 1.5456,                 1.1847,               0.001601,               0.001601,               0.001601
                      7,                0.81427,                 1.2036,                0.99131,                 1.0802,                0.49932,                0.44961,                0.41874,                 0.3218,                0.50411,                0.45368,                0.39902,                0.26112,                0.97059,                 2.2667,                 1.5786,                 1.2542,              0.0015845,              0.0015845,              0.0015845
                      8,                0.76854,                 1.1599,                0.96073,                 1.0568,                0.70309,                 0.5905,                0.62669,                0.51321,                 0.7022,                0.58644,                0.59788,                0.44375,                 0.8455,                 1.8872,                 1.3177,                 1.1956,               0.001568,               0.001568,               0.001568
                      9,                0.74577,                 1.1158,                0.86253,                 1.0439,                0.66762,                0.65103,                0.60269,                0.48196,                0.65051,                0.63169,                0.58671,                0.41276,                0.87239,                 2.0648,                 1.1183,                 1.1573,              0.0015515,              0.0015515,              0.0015515
                     10,                0.70006,                  1.071,                0.84574,                 1.0213,                0.52328,                0.57542,                0.53306,                0.43469,                0.52339,                0.56322,                0.50485,                0.36753,                0.79694,                 1.6995,                 1.2516,                 1.1305,               0.001535,               0.001535,               0.001535
