                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1972,                 2.7964,                 3.7517,                 1.4237,                0.23213,                0.59833,                0.32871,                0.25972,                0.23113,                0.58628,                0.31538,                  0.241,                0.75787,                 1.7111,                 3.9404,                 1.0718,             0.00018337,             0.00018337,             0.00018337
                      2,                0.70852,                 1.4037,                 1.8398,                 1.0329,                0.05253,                  0.135,                0.04881,                0.03401,                0.05253,                  0.135,                0.04729,                0.03223,                0.88413,                 1.6136,                 38.354,                 1.2271,             0.00037076,             0.00037076,             0.00037076
                      3,                0.76913,                 1.3006,                 1.4066,                 1.0879,                0.09622,                  0.445,                0.10891,                0.09063,                0.09122,                0.47667,                0.10706,                 0.0809,                0.87257,                 2.3998,                 29.804,                 1.1808,             0.00054494,             0.00054494,             0.00054494
                      4,                0.82189,                 1.2904,                 1.4096,                 1.1086,                0.09059,                0.48333,                  0.059,                0.04701,                0.09039,                0.47333,                0.05944,                0.04012,                0.90184,                 2.4572,                    inf,                 1.3509,             0.00070592,             0.00070592,             0.00070592
                      5,                0.85265,                 1.2609,                  1.358,                 1.1035,                0.01241,                0.33167,                0.01075,                 0.0072,                0.01238,                0.32667,                0.01063,                0.00589,                 1.2757,                  4.969,                    inf,                 1.8919,              0.0008537,              0.0008537,              0.0008537
                      6,                0.91799,                 1.3193,                 1.3993,                 1.1385,                0.02218,                0.41833,                0.01918,                0.01273,                0.02205,                0.41333,                 0.0179,                0.01206,                 1.1925,                 3.2904,                 30.583,                 1.5593,             0.00098828,             0.00098828,             0.00098828
                      7,                0.87553,                 1.2643,                 1.2324,                  1.129,                0.01451,                0.19833,                0.00682,                0.00461,                0.01247,                0.06333,                0.00546,                0.00363,                 2.3285,                 76.217,                    inf,                 3.8162,              0.0011097,              0.0011097,              0.0011097
                      8,                0.96428,                 1.3827,                  1.357,                 1.2262,                0.10071,                0.23333,                0.01799,                0.01346,                0.10058,                0.22333,                0.01515,                0.01102,                 1.7942,                 9.2601,                    inf,                 2.9157,              0.0012178,              0.0012178,              0.0012178
                      9,                0.90609,                 1.2479,                  1.232,                 1.1763,                0.39503,                0.41167,                 0.3241,                0.21068,                0.41485,                0.44167,                0.34647,                0.22039,                 1.3808,                 3.9775,                 2.8277,                 1.8058,              0.0012269,              0.0012269,              0.0012269
                     10,                0.92105,                 1.2451,                 1.1844,                 1.1799,                0.55273,                0.53877,                0.52621,                0.39795,                0.54852,                 0.5412,                0.51984,                0.39171,                 1.0113,                 2.7099,                 2.3177,                 1.3867,              0.0012269,              0.0012269,              0.0012269
                     11,                0.88246,                 1.3546,                 1.2374,                 1.1469,                0.03479,                0.58833,                0.03093,                0.02144,                0.03426,                0.40167,                0.02839,                0.01937,                 1.0833,                 3.0753,                  61.69,                 1.5191,              0.0011719,              0.0011719,              0.0011719
                     12,                0.84624,                 1.0883,                 1.1644,                 1.1539,                0.00427,                  0.265,                0.00328,                0.00196,                0.00387,                0.23333,                0.00248,                0.00142,                 1.7718,                 5.3671,                    inf,                 2.1603,              0.0011169,              0.0011169,              0.0011169
                     13,                0.88012,                 1.1666,                 1.1615,                 1.1418,                0.02398,                0.38167,                 0.0179,                0.01037,                0.01965,                0.24667,                0.01246,                0.00846,                 1.7409,                 12.073,                 15.656,                 1.9318,              0.0010619,              0.0010619,              0.0010619
                     14,                0.76318,                 1.0427,                0.96948,                 1.1227,                0.31547,                0.45539,                0.33211,                0.25018,                0.31387,                 0.4359,                0.32318,                0.23472,                 1.0369,                 3.4264,                 2.8607,                 1.3124,              0.0010069,              0.0010069,              0.0010069
                     15,                0.73991,                  1.048,                0.92155,                 1.0985,                 0.5398,                0.62237,                 0.6022,                0.47167,                0.53678,                0.61629,                0.59324,                0.46187,                0.79987,                 1.3717,                 1.5102,                 1.1922,             0.00095186,             0.00095186,             0.00095186
                     16,                0.77569,                 1.0123,                 1.0001,                 1.0891,                0.57283,                0.53167,                0.58641,                0.43145,                 0.5621,                0.52167,                 0.5462,                0.39541,                0.96768,                 2.0644,                  1.566,                 1.2768,             0.00089685,             0.00089685,             0.00089685
                     17,                0.74431,                 1.1126,                0.90845,                  1.063,                0.57886,                  0.605,                0.55798,                0.43983,                0.57421,                    0.6,                0.55269,                0.41579,                0.76482,                 1.2861,                 1.7327,                 1.1658,             0.00084184,             0.00084184,             0.00084184
