                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.57034,                0.77203,                0.62583,                0.94508,                0.77177,                 0.5572,                 0.6616,                0.57216,                0.76763,                0.55155,                0.65664,                0.51471,                0.67649,                 1.1757,                 1.4008,                 1.0379,              0.0011178,              0.0011178,              0.0011178
                     25,                0.56365,                0.78328,                0.60567,                0.93732,                0.74492,                0.62709,                0.66619,                0.57205,                 0.7372,                0.61738,                0.65287,                0.53734,                0.68436,                 1.1146,                 1.2091,                 1.0838,              0.0011036,              0.0011036,              0.0011036
                     26,                0.56697,                0.76183,                0.61141,                0.93657,                0.73984,                 0.6966,                0.72064,                0.64206,                0.73984,                 0.6966,                0.72064,                0.58468,                 0.6786,                  1.112,                 1.1495,                  1.044,              0.0010895,              0.0010895,              0.0010895
                     27,                0.56632,                0.78849,                 0.5846,                0.93771,                0.60221,                0.67333,                0.58223,                0.50518,                0.60221,                0.67333,                0.57699,                0.45867,                 0.6667,                 1.2131,                 1.1907,                 1.0389,              0.0010753,              0.0010753,              0.0010753
                     28,                 0.5525,                0.74145,                0.54763,                0.93007,                0.71037,                0.67266,                0.73007,                 0.6286,                0.69064,                0.65904,                0.70709,                0.58469,                0.68277,                  1.195,                0.99241,                 1.0444,              0.0010612,              0.0010612,              0.0010612
                     29,                0.55663,                0.72373,                0.55863,                0.93358,                0.74783,                0.73399,                0.72726,                 0.6276,                0.80263,                0.67909,                0.71622,                0.57574,                0.66135,                 1.0344,                0.91904,                 1.0638,               0.001047,               0.001047,               0.001047
                     30,                0.53869,                0.68362,                0.55042,                0.92308,                0.64634,                0.67019,                0.59177,                  0.514,                0.63462,                0.65483,                0.57692,                0.48403,                0.63589,                 1.1086,                  1.323,                 1.0183,              0.0010329,              0.0010329,              0.0010329
                     31,                0.57967,                0.71173,                0.57665,                0.94451,                0.75763,                0.66262,                0.67817,                0.57965,                0.73723,                  0.647,                0.65904,                0.54444,                0.68741,                 1.1535,                 1.0372,                  1.029,              0.0010187,              0.0010187,              0.0010187
                     32,                0.54086,                0.65189,                0.52977,                0.92481,                0.77829,                0.71921,                0.71565,                0.62627,                  0.756,                0.70358,                0.69592,                0.58114,                0.66519,                 1.0718,                0.98877,                 1.0465,              0.0010046,              0.0010046,              0.0010046
                     33,                0.53218,                0.69552,                0.51895,                0.92658,                0.66819,                0.66255,                0.68898,                0.61297,                0.66819,                0.66255,                0.67477,                0.56363,                0.56897,                0.92653,                 1.0621,                 0.9835,             0.00099044,             0.00099044,             0.00099044
                     34,                0.51764,                0.68651,                0.51134,                0.91862,                0.77191,                0.69766,                0.71017,                0.63231,                0.76651,                0.69281,                0.70734,                0.58651,                0.55747,                 1.0144,                0.94657,                0.97556,             0.00097629,             0.00097629,             0.00097629
                     35,                 0.5232,                0.71671,                0.50769,                0.92344,                0.61427,                0.74454,                 0.7062,                0.62023,                0.60567,                0.73483,                0.69801,                0.56821,                0.55151,                0.97069,                0.99615,                0.96894,             0.00096215,             0.00096215,             0.00096215
                     36,                0.51094,                0.69419,                0.48769,                0.91866,                0.78783,                 0.6966,                0.73743,                 0.6472,                0.78506,                 0.6966,                0.73778,                0.59459,                0.64782,                 1.1247,                0.90785,                 1.0182,               0.000948,               0.000948,               0.000948
                     37,                 0.5089,                0.66807,                 0.4938,                0.91494,                0.62028,                0.68859,                0.66167,                0.58759,                0.61231,                0.67888,                0.65268,                0.52805,                0.67789,                 1.1724,                 1.1403,                 1.0861,             0.00093385,             0.00093385,             0.00093385
                     38,                 0.5116,                0.63573,                0.48069,                0.90865,                0.70642,                0.66275,                0.70113,                0.61063,                0.67949,                0.64743,                0.68139,                0.54555,                0.65828,                 1.2117,                 1.0517,                 1.0531,              0.0009197,              0.0009197,              0.0009197
                     39,                 0.4961,                0.66417,                0.46714,                0.90731,                0.79951,                0.66524,                0.74345,                0.66208,                0.77249,                 0.6543,                0.72756,                0.61944,                0.59562,                 1.0903,                0.97218,                 1.0274,             0.00090556,             0.00090556,             0.00090556
                     40,                0.47659,                0.63287,                0.45234,                0.90384,                0.79257,                0.65671,                0.71977,                0.65701,                0.79257,                0.65671,                0.71726,                0.59648,                 0.5767,                 1.1021,                0.96347,                 1.0002,             0.00089141,             0.00089141,             0.00089141
                     41,                0.49064,                0.64542,                0.45809,                0.90104,                0.74183,                0.64002,                 0.6546,                0.59876,                0.74183,                0.64002,                0.65297,                0.55679,                0.62681,                 1.3112,                  1.093,                 1.0237,             0.00087726,             0.00087726,             0.00087726
                     42,                0.48715,                0.66319,                 0.4695,                 0.9089,                0.62441,                0.61138,                0.60065,                0.54887,                0.63767,                0.62686,                0.61629,                0.49272,                0.65174,                 1.2518,                 1.1444,                  1.043,             0.00086312,             0.00086312,             0.00086312
