                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95724,                 1.9638,                 2.6612,                 1.2275,                0.06402,                0.49075,                0.05124,                0.03731,                0.06402,                0.49075,                0.05134,                0.03907,                 0.9553,                 1.9257,                    inf,                 1.2878,             0.00053932,             0.00053932,             0.00053932
                      2,                  0.897,                 1.4105,                 1.4869,                 1.1247,                0.00198,                 0.0534,                0.00109,                 0.0005,                  9e-05,                0.00485,                  4e-05,                  3e-05,                 3.6871,                 93.163,                    inf,                 8.6066,              0.0010841,              0.0010841,              0.0010841
                      3,                0.95943,                 1.5706,                 1.3688,                 1.1571,                0.00049,                0.03504,                0.00023,                 0.0001,                0.00011,                0.00485,                  5e-05,                  2e-05,                 3.1898,                 26.003,                    inf,                  7.968,               0.001618,               0.001618,               0.001618
                      4,                0.99003,                 1.5896,                 1.3902,                 1.1762,                0.26923,                0.32084,                0.20081,                0.12945,                0.26119,                0.29657,                0.17834,                0.11047,                 1.1996,                 5.2468,                 11.849,                 1.4593,              0.0016175,              0.0016175,              0.0016175
                      5,                0.88986,                 1.3956,                 1.1813,                 1.1175,                0.22247,                0.43124,                0.20958,                0.15548,                0.22345,                0.44095,                0.21146,                0.15465,                 1.3648,                 3.5909,                 7.6647,                 1.6851,              0.0016175,              0.0016175,              0.0016175
                      6,                 0.8719,                 1.2186,                 1.1401,                 1.0975,                0.42325,                0.67992,                0.51669,                0.39194,                0.42325,                0.67992,                 0.5207,                0.36484,                0.90743,                 1.5018,                 3.0904,                 1.2724,               0.001601,               0.001601,               0.001601
                      7,                0.80056,                 1.1984,                 1.0918,                 1.0629,                0.51081,                0.57752,                0.50962,                0.39522,                0.50581,                0.56781,                0.50446,                0.39169,                0.90294,                 1.3088,                  2.524,                 1.2566,              0.0015845,              0.0015845,              0.0015845
                      8,                0.79881,                 1.2321,                 1.0147,                 1.0772,                0.63643,                0.62758,                  0.585,                0.43395,                0.61882,                0.61302,                0.56626,                0.40291,                0.92627,                 1.7601,                 1.6615,                 1.2489,               0.001568,               0.001568,               0.001568
                      9,                0.73987,                 1.2068,                0.98794,                 1.0329,                 0.5611,                0.62642,                0.57725,                0.46798,                 0.5611,                0.62642,                0.57399,                0.44461,                0.77312,                 1.2503,                 1.6112,                 1.1211,              0.0015515,              0.0015515,              0.0015515
                     10,                0.75919,                 1.0719,                 0.9474,                 1.0395,                0.61196,                0.60424,                0.63063,                0.53469,                0.61196,                0.60424,                0.62936,                0.50238,                0.70489,                 1.2049,                 1.2222,                 1.0691,               0.001535,               0.001535,               0.001535
                     11,                0.72704,                 1.0619,                0.88878,                 1.0297,                0.70123,                0.63569,                0.63685,                0.52533,                0.69385,                0.62525,                0.62666,                0.50954,                0.77347,                 1.3211,                 1.2343,                 1.0985,              0.0015185,              0.0015185,              0.0015185
