                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84484,                 1.6924,                 2.2289,                 1.1395,                0.31003,                0.38135,                0.28131,                 0.2119,                0.61954,                0.35842,                0.25768,                0.16244,                0.71944,                 2.1111,                 4.4014,                 1.1213,             0.00046839,             0.00046839,             0.00046839
                      2,                0.86697,                 1.3879,                 1.3809,                 1.1312,                0.00096,                0.10714,                0.00058,                0.00021,                0.00082,                 0.0496,                0.00044,                0.00019,                 3.0278,                 93.809,                    inf,                  5.281,             0.00093537,             0.00093537,             0.00093537
                      3,                0.92568,                 1.4971,                 1.3487,                 1.1602,                0.75988,                0.25714,                0.21947,                0.17426,                0.77105,                0.23159,                0.20718,                0.14788,                 1.0319,                 4.3025,                 9.4595,                 1.3908,              0.0013929,              0.0013929,              0.0013929
                      4,                0.89644,                 1.3878,                 1.2832,                 1.1411,                0.60557,                 0.4452,                 0.4492,                0.34818,                0.59565,                 0.4329,                0.41308,                0.28495,                 1.0343,                  4.302,                 2.2281,                 1.3907,              0.0013866,              0.0013866,              0.0013866
                      5,                 0.8474,                  1.388,                  1.147,                 1.1243,                0.73701,                0.49444,                0.46326,                0.38114,                0.70201,                0.45357,                0.42504,                0.32156,                0.74646,                  1.438,                 1.6384,                 1.1183,              0.0013866,              0.0013866,              0.0013866
                      6,                0.79988,                 1.3245,                 1.0762,                 1.0995,                0.51707,                0.34105,                 0.4159,                0.33295,                0.49549,                0.32673,                0.38303,                 0.2775,                0.73865,                 1.1998,                 2.0317,                 1.0764,              0.0013724,              0.0013724,              0.0013724
                      7,                 0.7899,                 1.2183,                 1.0324,                 1.0837,                0.49639,                0.63377,                0.54536,                0.45939,                0.49102,                0.63019,                 0.5261,                0.40349,                0.62661,                0.93857,                 1.3158,                 1.0176,              0.0013583,              0.0013583,              0.0013583
                      8,                0.72618,                 1.1466,                0.91509,                 1.0547,                0.73889,                0.45278,                0.47464,                0.37846,                0.73437,                0.44325,                0.44298,                0.32161,                0.73037,                 1.5311,                 1.2887,                 1.1247,              0.0013441,              0.0013441,              0.0013441
                      9,                0.69689,                 1.0714,                0.88666,                 1.0341,                0.53972,                0.61488,                0.64181,                0.52582,                0.53816,                0.61158,                0.62179,                0.47423,                0.62796,                 1.1679,                 1.4184,                 1.0362,                0.00133,                0.00133,                0.00133
                     10,                0.67725,                 1.0737,                0.84441,                 1.0225,                0.68212,                0.56402,                0.61447,                 0.5081,                0.67151,                0.55449,                0.60546,                0.46953,                0.62547,                0.96606,                0.91334,                 1.0405,              0.0013158,              0.0013158,              0.0013158
                     11,                0.67243,                 1.0495,                0.83449,                 1.0182,                 0.5339,                0.76371,                0.65483,                0.56305,                0.52806,                0.75696,                0.64141,                0.52338,                0.58124,                0.90155,                0.95197,                0.99861,              0.0013017,              0.0013017,              0.0013017
                     12,                 0.6591,                 1.0069,                 0.8222,                 1.0171,                0.48656,                0.63074,                0.57024,                0.49465,                0.48238,                0.62439,                0.56166,                0.44164,                0.59371,                 1.0693,                   1.02,                 1.0132,              0.0012875,              0.0012875,              0.0012875
                     13,                0.65512,                0.98948,                0.79884,                 1.0117,                0.58246,                0.71975,                0.71446,                0.60694,                0.72738,                0.56484,                0.70799,                 0.5831,                  0.576,                 0.8459,                0.92431,                0.97516,              0.0012734,              0.0012734,              0.0012734
                     14,                 0.6303,                 0.9596,                0.75353,                0.99558,                0.76357,                0.68743,                0.75726,                 0.6591,                0.75735,                0.68108,                0.75325,                0.62543,                0.57053,                0.88493,                0.81748,                0.98691,              0.0012592,              0.0012592,              0.0012592
                     15,                0.62914,                0.93517,                 0.7487,                  1.004,                 0.4783,                0.57215,                0.51298,                0.42307,                0.49307,                0.59333,                0.51402,                0.37993,                 0.5767,                0.96778,                 1.5079,                0.98161,              0.0012451,              0.0012451,              0.0012451
                     16,                0.60247,                0.88277,                0.73289,                0.98248,                0.72937,                0.67936,                0.71156,                0.62415,                0.72588,                0.67619,                0.71261,                0.58379,                0.53169,                0.77535,                0.87263,                0.94687,              0.0012309,              0.0012309,              0.0012309
                     17,                0.60993,                0.90995,                0.69801,                0.98631,                0.64094,                0.74736,                0.72633,                0.63915,                0.62912,                0.73822,                0.71772,                0.60861,                 0.5527,                0.77826,                0.82553,                0.95439,              0.0012168,              0.0012168,              0.0012168
                     18,                0.59719,                0.87678,                0.69507,                0.97928,                0.67468,                0.74574,                0.71413,                0.61247,                 0.6756,                0.73979,                0.70782,                0.58924,                0.57898,                0.83454,                0.92616,                0.99721,              0.0012026,              0.0012026,              0.0012026
                     19,                0.57494,                0.81884,                0.68087,                0.97753,                0.81157,                0.77298,                0.79567,                0.69983,                0.80112,                0.76348,                 0.7848,                0.66037,                0.52095,                 0.7884,                0.73427,                0.93842,              0.0011885,              0.0011885,              0.0011885
                     20,                 0.5884,                0.86851,                0.67352,                0.97867,                0.75589,                0.71188,                0.74235,                0.62626,                0.73286,                0.68127,                0.71171,                0.56989,                0.65076,                0.99637,                0.88848,                 1.0655,              0.0011744,              0.0011744,              0.0011744
                     21,                0.56553,                0.80873,                0.64438,                0.96962,                0.55095,                  0.543,                0.57476,                0.49137,                0.54747,                0.54372,                0.56635,                0.45807,                0.54515,                0.85794,                 1.5165,                0.96706,              0.0011602,              0.0011602,              0.0011602
                     22,                0.56419,                0.79613,                0.63138,                0.96764,                0.77279,                0.80204,                0.80459,                0.68119,                0.76737,                0.79524,                0.80017,                0.64504,                0.49584,                0.70793,                0.72583,                0.94078,              0.0011461,              0.0011461,              0.0011461
                     23,                  0.568,                0.80844,                0.62352,                0.96374,                0.78873,                0.68409,                0.78811,                  0.691,                0.79248,                0.68727,                 0.7859,                0.65431,                0.52476,                0.75017,                0.73184,                0.95936,              0.0011319,              0.0011319,              0.0011319
                     24,                0.55193,                0.77826,                0.59711,                0.95419,                0.70085,                0.72583,                0.75558,                0.65186,                0.69549,                0.71853,                0.74561,                0.60807,                0.49182,                0.77835,                0.86461,                0.93487,              0.0011178,              0.0011178,              0.0011178
